Word,POS Tag,Frequency
rendah,NN,8
vaksin,NN,478
jamaah,NN,10
umroh,JJ,1
jaga,NN,11
pemberiannya,NN,1
pas,NN,3
kasih,NN,7
sempurna,VBD,1
minimal,JJ,20
h10,NN,4
suntik,VBD,2
25,CD,8
travel,NN,3
sumber,NN,47
3,CD,90
nasional,JJ,38
tulungagung,NN,6
minggu,NN,48
metropolitan,VBD,1
terverifikasi,NN,8
dewan,NN,8
persno,NN,4
571dpverifikasikx2020,CD,1
bicaranetworkcom,NN,1
menanggulangi,NN,1
penyebaran,NN,77
cacar,NN,5
monyet,RB,5
mpox,JJ,12
kementerian,JJ,248
perhubungan,NN,9
kemenhub,VBD,4
mewajibkan,JJ,20
penggunaan,NN,93
pelaku,VBZ,49
perjalanan,JJ,64
internasional,JJ,22
indonesia,NN,259
aturan,NN,34
terbaru,NN,35
kewajiban,NN,7
27,CD,17
agustus,NN,14
tertuang,NN,4
surat,VBD,131
edaran,JJ,28
5,CD,77
djpu,NN,3
“penetapan,,1
panduan,JJ,3
angkutan,JJ,6
udara,NN,13
perusahaan,NN,5
asing,VBG,3
orang,JJ,107
personel,NNS,8
penerbangan,VBP,7
penumpang,JJ,53
negeri,NN,33
terbang,NN,3
mengisi,NN,13
formulir,NN,10
swadeklarasi,NN,2
elektronik,FW,37
bernama,NN,15
health,NN,56
pass”,,2
direktur,VBZ,36
jenderal,JJ,27
maria,NNS,1
kristi,VBP,1
endah,JJ,1
murni,NN,1
keterangan,NN,30
resminya,VBD,5
29,CD,8
maskapai,NN,2
pengelola,NN,26
bandara,VBD,27
diinstruksikan,NN,1
berkoordinasi,NN,6
mengikuti,NN,18
prosedur,NN,2
pengisian,JJ,2
informasi,VBZ,137
platform,NN,192
digital,JJ,133
dikembangkan,NN,27
menangani,NN,5
wabah,NN,3
melaporkan,NN,8
kondisi,NN,20
kesehatannya,NN,8
dengannya,NN,1
berwenang,NN,3
deteksi,NN,3
kasuskasus,NN,1
berpotensi,NN,4
menyebar,NN,3
memahami,NN,3
mencegah,VBZ,24
tanah,NN,2
air,NN,10
tersedia,NN,32
diisi,NN,3
muncul,NN,75
kode,NN,43
berisi,NN,20
riwayat,NN,48
dipindai,JJ,7
petugas,NN,26
pintu,NN,47
kedatangan,VBD,8
silakan,JJ,8
disimpan”,,2
general,JJ,14
manager,NN,16
gusti,VBP,4
ngurah,JJ,4
rai,NN,4
handy,JJ,4
heryudhitiawan,NN,2
dikutip,NN,23
selengkapnya,NN,13
mudah,NN,41
pasca,VBZ,1
laman,JJ,25
mengunduh,NN,35
menginstal,NN,3
buka,JJ,25
peramban,JJ,7
internet,NN,12
ketikkan,JJ,2
alamat,NN,39
httpssshpkemkesgoid,NN,1
editor,NN,26
nur,JJ,10
fitriyani,NN,1
pt,NN,59
media,NNS,52
tujuh,VBP,5
benua,JJ,1
menara,NN,1
165,CD,2
lantai,NN,8
4,CD,66
jalan,NN,37
tb,NN,1
simatupang,VBD,1
kav,VBD,2
jakarta,NN,96
selatan,NN,18
0817,CD,1
197407,CD,1
redaksibicaranetworkgmailcom,NN,1
genpico,NN,2
bali,NN,24
mengakses,NNS,89
pass,NN,5
sshp,NN,4
ppln,NN,4
monkeypox,NN,1
merujuk,NN,3
dirjen,JJ,2
nomor,NN,146
kewaspadaan,NN,5
“saat,,4
diwajibkan,NN,14
sabtu,VBD,39
318,CD,1
sshpkemkesgoid,JJ,1
papar,NN,4
membeberkan,JJ,1
karantina,NNP,7
denpasar,NN,1
baca,NN,22
konten,VB,9
google,NN,17
news,NN,29
trending,VBG,2
topic,NN,1
foto,NN,24
rumah,NN,60
sakit,NN,54
rsud,NN,9
h,NN,10
moh,JJ,4
anwar,JJ,4
sumenep,NN,7
erliyati,NN,2
mempermudah,NN,30
pasien,NN,103
menjalani,NN,13
terintegrasi,JJ,130
transformasi,JJ,88
digitalisasi,NN,12
erekam,NN,1
medik,NN,2
berlaku,VBD,19
merampungkan,NN,1
bertransformasi,NN,13
digitalisasi”,,3
februari,NN,22
ditemui,NN,6
ruang,NN,20
kerjanya,VBD,1
penghubung,NN,10
sistem,NN,144
mengintegrasikan,JJ,35
data,NNS,462
individu,VBP,1
fasilitas,JJ,79
fasyankes,NNS,110
rekam,JJ,117
medis,NN,153
rme,NN,43
interoperabilitas,NNS,5
standardisasi,VBP,1
berstatus,NN,2
tipe,NN,1
b,NN,10
kuat,NN,7
tangguh,NN,2
satunya,NN,47
integrasi,NN,44
services,NNS,9
ihs,VBP,27
nama,JJ,96
resmi,NN,70
luncurkan,NN,6
manfaat,NN,30
erli,JJ,2
memeriksa,NN,5
dimana,NN,13
“datadata,,1
terekam,NN,6
warga,NN,159
periksa,NN,10
tinggal,JJ,16
ngecek,JJ,1
nik,FW,42
nanti”,,1
terangnya,NN,9
dokter,NN,43
prasarana,NN,1
dirampungkan,NN,1
maret,NN,52
pelat,JJ,1
merah,NN,22
ujung,JJ,1
timur,NN,35
pulau,NN,22
madura,NN,1
bridging,VBG,3
kemenkes,NNS,224
ri,VBP,119
“jadi,,10
bolak,NN,1
medisnya,JJ,3
praktek,VBP,1
mandiri,NN,28
umum”,,1
perwujudan,VBZ,3
pilar,JJ,31
enam,NNS,7
teknologi,NN,63
diinisiasi,JJ,3
diharapkan,NN,35
primer,NN,17
rujukan,NN,14
ketahanan,VBD,7
pembiayaan,JJ,6
sdm,NN,4
mengembangkan,JJ,7
mengadopsi,NN,3
model,NN,11
infrastruktur,JJ,11
platformasaservice,NN,4
paas,NN,6
menghubungkan,JJ,4
ekosistem,NN,13
industri,NN,21
diandalkan,NN,4
beragam,NN,10
rs,NN,41
vertikal,NN,12
puskesmas,NN,43
posyandu,NN,7
laboratorium,NN,27
klinik,FW,15
apotek,NN,12
standar,NN,28
ditetapkan,NN,24
nakes,VBZ,6
menginput,VBN,5
berulang,NNS,10
berbeda,JJ,22
otomatis,NN,62
terhubung,NN,42
lifestyle,JJ,11
10,CD,34
tekno,NN,10
palembang,NN,3
terhitung,VBD,6
november,JJ,22
square,NN,6
ps,NN,2
mall,NN,94
memberlakukan,NN,10
pemilik,NN,9
toko,NN,9
karyawan,NN,11
mal,JJ,31
co,NN,3
ing,VBG,1
regional,JJ,2
director,NN,3
lippomalls,VBZ,1
psqmcm06391012tenantPeduliLindungi,,1
berdasarkan,NN,28
arahan,IN,16
gugus,JJ,4
maklumat,NN,1
sumatera,NN,6
informasikan,NN,1
tanggal,JJ,42
memasuki,VBP,28
area,NN,20
26,CD,9
oktober,NN,81
ponsel,NN,39
masingmasing,VBG,39
henradarpalembang,JJ,1
ikuti,NN,9
idi,NN,28
reborn,JJ,5
organisasi,NN,23
profesi,NN,14
modern,JJ,4
akuntabel,NN,3
cerdas,NN,5
menjunjung,NN,2
kesejawatan,VBP,2
penghormatan,NN,2
gurugurunya,NN,2
ikatan,JJ,4
spiritual,JJ,2
tertinggi,NN,6
nilainilai,JJ,3
zaenal,JJ,1
abidin,NN,2
pb,NN,3
20122015,CD,1
rapat,NN,10
iii,NN,3
rakernas,NNS,5
syaa,NN,1
allah,NN,4
kendari,NN,7
tenggara,NN,1
2125,CD,1
dihadiri,NN,4
segenap,NN,2
pusat,VBD,97
cabang,NN,6
dilaksakan,VBP,1
undangan,JJ,1
memilih,VBP,13
tema,NN,5
kelangsungan,NN,1
“idi,,1
bangkit,NN,1
bersatu,NN,6
harkat,NN,2
rakyat,NN,24
indonesia”,,13
diemban,NN,1
jajaran,NN,11
amanat,NN,2
muktamar,NN,3
xxxi,NNP,1
banda,NN,14
aceh,NN,13
2022,CD,52
bermakna,NN,1
semangat,NN,5
perubahan,NN,43
pembaharuan,JJ,1
mewujudkan,NN,18
martabat,NN,3
manusia,NN,5
mukernas,NN,1
bertujuan,JJ,16
berwewenang,NN,1
a,DT,12
menilai,JJ,11
pelaksanaan,NN,51
pengurus,NN,3
besae,NN,1
menyempurnakan,NN,2
memperbaikinya,NN,1
dilaksanakan,NN,14
sisa,NN,1
kepengurusan,NN,1
bahanbahan,NN,1
c,NN,7
membentuk,NN,7
panitia,NN,2
seleksi,NN,5
d,NN,4
menyusun,NN,8
rancangan,NN,3
tata,NN,22
tertib,NN,3
e,NN,2
pemilihan,NN,9
majelismajelis,NN,1
pantia,NN,1
seleksinya,NN,1
negara,NN,68
jamak,NN,1
universal,JJ,2
alasan,JJ,15
universalitas,JJ,1
diikuti,NN,7
kukuh,NN,1
mempertahankan,NN,4
prinsip,NN,1
beranggotakan,NN,1
bersifat,NN,5
otonom,NN,2
mengatur,NN,6
anggotanya,IN,5
internal,JJ,1
ketiga,NN,23
sifatnya,NN,1
menerbitkan,NN,3
diterapkan,NN,15
dipatuhi,NN,1
berpraktik,NN,1
keempat,NN,8
etik,NN,2
kedokteran,VBD,1
kodeki,NN,1
memandu,NN,2
mengevaluasi,NN,2
perilaku,NN,1
historis,NN,1
dilahirkannya,NN,1
1950,CD,1
satusatu,NN,1
referesentasi,NN,2
keenam,NN,16
diterima,NN,15
anggota,NN,30
aktif,NN,7
world,NN,7
medical,JJ,9
association,NN,2
wma,NN,1
1953,CD,2
satusatunya,NN,8
sedunia,NN,1
selajutnya,NN,1
memprakarsai,NN,1
berdirinya,JJ,1
confederation,NN,1
associations,NNS,1
asia,NN,3
oceania,NN,1
cmaao,NN,1
1959,CD,2
south,JJ,1
east,JJ,1
asian,JJ,1
nations,NNS,1
masean,JJ,1
1980,CD,1
ketujuh,NN,1
pendiri,NN,2
mencitacitakan,NN,1
dipandang,NN,1
officium,NN,1
nobile,JJ,1
jabatan,NN,1
mulia,NN,2
moral,JJ,2
community,NN,2
memiliki,NN,77
citacita,NN,1
artikel,VBZ,22
opini,FW,5
koran,NN,6
sindo,NN,1
16,CD,8
desember,NN,10
2015,CD,2
berjudul,NN,1
“sehat,,1
kebanggaan,VBD,4
si,NN,3
miskin”,,1
penulis,NN,5
mengemukakan,NN,1
sehat,WP,57
kebutuhan,NN,31
hidup,NN,16
lahir,NN,8
tumbuh,NN,2
berkembang,NN,3
ajal,NN,1
menjemput,VBD,1
pendidikan,JJ,7
bekal,NN,1
pengetahuan,NN,3
keterampilan,NN,2
wawasan,JJ,4
bermasyarakat,NN,1
kemakmuran,VBD,3
erat,NN,15
kesejahteraan,VBD,2
kemiskinan,NN,2
bangsa,NN,7
negaranya,JJ,2
kait,NN,1
mengait,NN,1
memengaruhi,NN,1
timbal,JJ,1
kelompok,NN,17
ekonominya,JJ,2
papa,NN,1
seringkali,NN,4
beriringan,VBP,1
bergandengan,JJ,1
tangan,JJ,18
kebodohan,FW,1
pandai,NN,1
terdidik,NN,1
jarang,NN,3
mengekor,NN,1
membangun,NN,8
berkaitan,JJ,15
rakyatnya,JJ,2
membaik,NN,1
kemiskinannya,NN,1
dimengerti,NN,1
produktif,NN,1
mencari,NN,4
nafkah,JJ,1
memenuhi,NN,7
kesehariannya,VB,1
akibatnya,JJ,1
biaya,NN,12
berobat,NN,5
terpakai,NN,9
berobatnya,NN,1
disubstitusikan,NN,1
mediskesehatan,NN,1
membeli,NN,8
makanminuman,NN,1
bergizi,NN,1
seimbang,NN,1
menikmati,NN,4
rekreasi,NN,1
keluarga,NN,24
penelitian,JJ,5
bayi,NN,2
ketimbang,VBD,1
miskin,FW,19
dilema,NN,1
generasi,NN,4
muda,NN,4
harapan,NN,6
memikirkan,NN,4
nasib,NN,10
kemampuan,NN,2
penghasilan,NN,1
berimbang,NN,1
proteksi,NN,3
laju,NN,5
inflasi,NN,1
bahan,NN,6
pokok,NN,1
penyediaan,NN,6
anggaran,NN,2
memadai,JJ,1
tersebar,NN,3
merata,NN,5
penduduk,NN,21
berkebutuhan,NN,13
khusus,NN,29
spirit,NN,5
pemerataan,VBZ,2
mendekatkan,NN,2
pemukiman,NN,2
kendala,NN,64
terpecahkan,JJ,1
pendudukan,NN,1
terbantu,NN,3
memperoleh,NN,7
dibutuhkan,VBP,7
kartu,NN,32
transportasi,NN,27
non,NN,7
mahal,NN,5
dibanding,VBG,5
perbaikan,NN,18
daya,NN,18
dorongan,JJ,1
mempercepat,NN,21
penaggulangan,NN,1
penyelenggaraan,NN,12
arti,VBZ,1
modal,JJ,5
utama,NN,56
menjamin,NN,24
terpenuhinya,NN,1
keadilan,VBP,4
stabilitas,NNS,1
politik,JJ,5
perencanaan,JJ,5
diperhatikan,NN,4
ketidakpastian,JJ,1
munculnya,NN,4
ditunda,NN,2
disparitas,NNS,2
doktertenaga,NN,1
memperhatikan,NN,4
dikendalikan,NN,1
diintervensi,NN,2
lembagalembaga,NN,2
demokrasi,NN,2
diserahkan,JJ,12
mekanisme,NN,6
pasar,NN,18
bebas,NN,4
pengelolaanya,NN,1
membedakan,NN,1
status,NN,89
budaya,NN,7
kendalinya,NN,1
mengalami,NN,34
gagal,JJ,3
menyelenggarakan,NN,2
promotif,NN,4
preventif,NN,4
populasi,NN,4
kesmas,FW,1
dicegah,VBZ,2
jatuh,NN,2
harapannya,NN,7
terlampau,NN,1
parah,NN,3
kaget,NN,2
berjumpa,NN,1
fakta,JJ,5
rpjmn,NN,3
tercapai,NN,2
pernyataan,NN,4
menteri,NN,59
bappenas,NN,1
“rapor,,1
merah”,,1
akibat,NN,4
tercapainya,NN,1
httpskatadatacoid,NN,1
juni,NN,9
sembilan,NN,5
mencapai,JJ,22
sekian,JJ,3
dialami,NN,4
sepuluh,JJ,4
imunisasi,NN,29
lengkap,NN,27
stunting,VBG,10
balita,JJ,2
wasting,VBG,1
tuberkulosis,NN,1
malaria,NN,1
kusta,NN,1
merokok,NN,3
anak,NN,51
fktp,NN,1
obesitas,NNS,2
dewasa,JJ,7
dilaporkan,JJ,8
penurunan,NN,8
berpatokan,NN,1
konsep,NN,3
welfarestate,NN,1
kesetaraan,NN,4
ekonomi,NN,19
dicapai,NN,1
intervensi,NN,3
meredistribusi,NN,1
kekayaan,NN,1
mixedmarket,NN,1
economy,NN,2
alasannya,JJ,1
sulit,JJ,13
mengharapkan,NN,2
pasif,NN,1
lemah,NN,2
berhadapan,NN,1
kapitalisme,VBP,1
welfare,NN,2
state,NN,3
menuntut,NN,1
berperan,NN,3
persaingan,JJ,1
pengupahan,NN,1
dalamnya,NN,7
jaminanansosial,NN,1
wajah,NN,2
nyata,NNS,7
sekedar,VBP,2
angkaangka,JJ,1
matematika,FW,2
statistik,NN,8
dibedabedakan,NN,1
tersingkir,NN,1
disisihkan,NN,1
pembangunan,JJ,13
angka,NN,30
memperkuat,NN,9
nilai,NN,14
luhur,NN,1
menghadapi,NN,4
berubah,NN,50
menyehatkannya,NN,1
fasiltas,NNS,1
pemberian,JJ,4
pelatihan,NN,2
ketrampilan,NN,1
hadir,NN,14
memberinya,NN,1
geografis,NN,3
jawa,NN,37
barat,NN,18
pembeda,NN,1
tajam,NN,1
kesatuan,JJ,4
nkri,JJ,1
usia,JJ,19
kemerdekan,NN,1
menginjak,VBD,1
78,CD,2
semestinya,NN,1
faktor,VBP,2
teratasi,NN,1
disadari,NN,1
sah,NN,4
dignity,NN,1
melekat,NN,4
catatan,NN,30
kembang,VBD,1
kelak,JJ,1
penerus,NN,1
diidentikkan,NN,1
pekerjaannya,NN,2
nelayan,JJ,7
mengaku,NN,20
ternilai,NN,1
harganya,NN,2
membuatnya,NN,3
sempurnalah,NN,1
penderitaannya,NN,1
dimensi,VBZ,1
konstitusional,JJ,2
diwakili,NN,1
dibiarkan,JJ,1
kesulitan,NN,8
memperolehnya,NN,1
berhenti,NN,5
“satu,,2
idi”,,1
dijadikan,NN,2
pendorong,NN,1
lahirnya,NN,1
melahirkan,NN,1
kesehatan”,,9
wallahu,NN,1
alam,NN,4
bishawab,NN,1
berita,NN,82
terkini,NN,13
gempa,NN,1
tektonik,NN,1
m62,NN,1
sr,NN,1
guncang,NN,1
laut,JJ,5
wakatobi,NN,1
bmkg,NN,1
tsunami,NN,1
deflasi,NN,1
tembus,VBD,2
012,CD,1
persen,NNS,21
terparah,NN,1
la,NN,1
andi,IN,5
inventarisasi,NN,1
lakudo,JJ,1
tawarkan,JJ,2
unggulan,NN,1
komeng,NNP,1
dpd,NN,1
dorongdorong,NN,1
emang,NN,1
gue,NN,1
mobil,NN,4
mogok,NN,1
prabowo,NN,3
harap,NN,6
ketemu,NN,1
megawati,NN,1
dilantik,NN,1
hashim,NN,1
menunggu,NN,18
piala,NN,1
u20,JJ,2
2025,CD,2
dion,NN,1
markx,FW,1
tim,NN,29
geypens,NNS,1
perkuat,VBP,1
timnas,JJ,4
dprd,NN,13
muna,NN,1
pkb,NN,1
dukung,NN,14
bachrun,IN,1
pilkada,NN,20
polres,VBZ,65
buton,JJ,1
diganjar,NN,1
anton,NN,3
abbas,VBZ,1
ajak,JJ,4
ribuan,JJ,4
pendukung,NN,3
puurau,NN,1
pemilih,NN,1
konsorsium,NN,1
kecewa,NN,1
hearing,VBG,1
blud,NN,1
konawe,NN,1
2019,CD,11
telisik,NN,1
cipta,NN,3
dilindungi,NN,1
undangundang,NN,2
readid,JJ,5
meluncurkan,NN,12
hulu,NN,1
hilir,NN,1
berhasil,NN,20
melewati,NN,5
fase,NN,2
pengujian,JJ,1
pengiriman,NN,25
uji,JJ,18
18,CD,4
staf,VBP,12
chief,JJ,37
transformation,NN,34
office,NN,38
dto,NN,32
setiaji,JJ,136
pameran,NN,8
hkn,NN,17
ke59,NN,2
convention,NN,2
center,NN,35
jcc,NN,2
senayan,NN,3
1111,CD,2
“mulai,,2
resume,VBP,11
pribadi,NN,25
miliknya,NN,3
online,VBP,40
capain,NN,2
menghadirkan,JJ,16
efisiensi,NN,4
fitur,VBP,126
versi,JJ,22
kunjungan,VBD,13
diagnosa,JJ,4
obat,NN,30
manajemen,NNS,18
“jika,,4
terdaftar,NN,45
pengobatan,NN,8
tercatat,NN,14
tersinkronisasi,NN,6
tersebut”,,5
merasakan,NN,17
verifikasi,NN,46
profil,NN,16
centang,NN,20
biru,VBD,11
36,CD,8
daftarnya,NN,7
diakses,VBZ,42
mengunjungi,NNS,9
booth,DT,5
know,VB,5
customer,NN,7
kyc,NN,5
ayo,NN,6
fest,JJS,7
kali,NN,31
menerangkan,NN,17
hadirnya,NN,7
menghilangkan,NN,6
pemeriksaan,NN,41
keharusan,VBD,6
membawa,JJ,26
berkas,NN,14
fisik,NN,22
berpindah,NN,12
“ini,,16
berguna,NN,29
kedaruratan,NN,7
penyakitnya,NN,7
menghindari,NN,12
potensi,NN,15
kesalahan,NN,24
keputusan,NNP,17
tindakan,NN,10
dilakukan”,,11
peluncuran,NN,15
mengumumkan,VBD,16
15,CD,30
peraih,NN,20
budi,NN,34
g,NN,15
sadikin,FW,22
sekretaris,JJ,21
kunta,NN,15
wibawa,NN,15
dasa,NN,15
nugraha,JJ,16
“apresiasi,,10
mentransformasikan,JJ,11
penilaian,JJ,14
keaktifan,VBP,11
kelengkapan,JJ,15
akurasi,NN,14
konsistensi,NN,11
capaian,JJ,23
berharap,VBP,28
inspirasi,NN,13
tingkatkan,NN,19
kecepatan,VBP,12
benarbenar,NN,12
dampak,NN,17
manfaatnya”,,12
melansir,NN,15
11,CD,45
2498,CD,13
berupaya,NN,29
peningkatan,NN,28
terdigitalisasi,JJ,14
dengue,NN,1
meningkat,NN,9
lipat…,NN,1
juru,NN,6
bicara,NN,6
mohammad,JJ,1
syahril,JJ,1
hpv,NN,1
gratis…,NN,1
pencegahan,NN,33
pengendalian,JJ,18
p2p,NN,1
dr…,NN,1
darurat,NN,10
emergency,NN,3
teamemt,NN,1
bertugas,NN,3
menekan,NN,10
angka…,NN,1
membaca,NN,11
tutup,NN,14
pengembangan,NN,25
penerapan,JJ,63
ide,NN,1
produk,NN,10
perawatan,JJ,14
mencakup,NN,8
pengelolaan,NN,7
pendekatan,NN,4
metode,NN,3
mengatasi,NN,15
tantangan,JJ,2
global,JJ,3
tujuannya,NN,9
mengurangi,JJ,7
aksesibilitas,NNS,2
kesehatanselanjutnya,NN,1
penemuan,NN,1
corona,NN,20
mendeteksi,NN,16
terindikasi,NN,1
covid,NN,35
langsung,NN,81
keberadaannya,VBP,2
tampilan,NN,18
merombak,NN,2
antarmuka,VBP,2
ui,JJ,3
pedulilindungitampilan,VBP,1
sederhana,NN,4
dipindahkan,NN,2
ikon,NN,4
ukurannya,JJ,2
diperbesar,NN,2
melacak,NN,5
terusmenerus,NN,3
opsi,IN,17
allow,IN,4
all,PDT,22
dihilangkan,JJ,2
pengguna,NN,202
ops,NNS,2
gantinya,VBP,2
only,RB,2
while,IN,2
using,VBG,2
app,NN,27
mengizinkan,NN,4
layananpada,JJ,1
menu,NN,51
ditampilkan,NN,11
sertifikat,NN,341
vaksinhasil,NN,1
tes,NNS,60
covid19ehacriwayat,VBP,1
checkinaturan,NN,1
perjalananselain,NN,1
teledokterpelayanan,NN,1
kesehatanstatistik,NNP,1
covid19daftar,NN,1
efektivitas,NNS,2
diagnosis,NN,2
portal,JJ,12
infopublik,NN,4
padang,NN,25
jumat,NN,36
2141,CD,1
wib,NN,42
redaktur,NN,1
tobari,VBD,1
270,CD,2
terpadu,NN,14
penggunanya,NN,8
dinas,VBP,95
dinkes,NNS,11
aplikasikan,JJ,1
menyukseskanya,NN,1
sosialisasinya,NN,1
faizah,JJ,1
kominfo,NN,35
332023,CD,1
memperbarui,NN,4
play,NN,23
store,NN,37
manual,JJ,14
persetujuan,NN,7
ketentuan,VBD,15
log,NN,4
diari,NN,3
